GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teste,default,UI,2883,0,263,0,589,0,182,0,28,0
teste,default,Menu,142,0,12,0,41,0,14,0,8,0
teste,default,Main,15,0,0,0,5,0,2,0,2,0
teste,Model.Formulas,FormulaMEO,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaEDA,19,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaEndesa,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaEnergiaSimples,19,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaIberdrola,19,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaGoldEnergy,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaEDP,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaCoopernico,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaMuon,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaSUElectricidade,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaGalp,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaYIce,17,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaEnat,19,0,0,0,4,0,4,0,4,0
teste,Model.Formulas,FormulaLuzboa,17,0,0,0,4,0,4,0,4,0
teste,Model,SmartHouses,1957,0,95,0,313,0,117,0,67,0
teste,Model,SmartBulb.Mode,39,0,0,0,4,0,2,0,2,0
teste,Model,Log,100,0,10,0,26,0,14,0,9,0
teste,Model,Fatura,312,0,22,0,74,0,33,0,22,0
teste,Model,SmartSpeaker,222,0,22,0,50,0,29,0,18,0
teste,Model,Pedido,108,0,0,0,27,0,14,0,14,0
teste,Model,SmartCamera,177,0,12,0,37,0,20,0,14,0
teste,Model,SmartDevice,117,0,6,0,35,0,15,0,12,0
teste,Model,SmartBulb,280,0,42,0,78,0,43,0,21,0
teste,Model,CasaInteligente,1262,0,106,0,209,0,119,0,66,0
teste,Model,Fornecedor,472,0,30,0,86,0,44,0,29,0
teste,Model.Exceptions,FaturaNotExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,LogNotExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,LogAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,CasaInteligenteAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,RoomAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,CasaInteligenteNotExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,FornecedorNotExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,SmartDeviceNotExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,SmartDeviceAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,FaturaAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,FornecedorAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,RoomNotExistsException,4,0,0,0,1,0,1,0,1,0
teste,Model.Exceptions,LinhaException,4,0,0,0,2,0,1,0,1,0
